sentence,status,confidence,canonicalFrameCount,canonicalFrames,structuredKnowledge,rulesApplied,reviewCandidates,explicitlySuppressedFrames,rawFrameCount,rawFrames,occurrenceCount,sourceDocumentCount,sourceDocuments
"lines 1 to 4: Type the appropriate option: If the BP must be terminated, type “Benefits processed on BPC [BPC of the BP to terminate] to be processed on a new BP.",canonical_frame,high,1,Imposing_obligation,,explicit_procedural_duty,Activity_stop,,18,Activity_stop; Age; Alternatives; Boundary; Conferring_benefit; Degree_of_processing; Distributed_position; Familiarity; Firing; Killing; Processing_materials; Product_line; Roadways; Shapes; Social_event; Suitability; Text_creation; Type,1,1,procedure/generic/mm06_bp_cancel_annul_transaction.json
"Modify the allocation as follows (if necessary, refer to the ROD or to Digest 5.11.0 - Compensation for incapacity to help you determine how to allocate the earnings):",canonical_frame,high,1,Assessing,,determine_numeric_or_eligibility_assessment,Cause_change; Deciding,Coming_to_believe; Contingency; Control,18,Assistance; Being_necessary; Capability; Cause_change; Coming_to_believe; Compliance; Contingency; Control; Cotheme; Deciding; Earnings_and_losses; Grasp; Means; Reference_text; Referring_by_name; Relative_time; Sending; Topic,1,1,procedure/task/adj_ic_ei_prpcr.json
"n FTS, on the Parental Benefits Validation screen, determine if the other parent’s SIN is linked to the client’s SIN:",needs_review,low,0,,,,Coming_to_believe; Deciding,,18,Attaching; Being_attached; Cognitive_connection; Coming_to_believe; Commerce_buy; Condition_symptom_relation; Conferring_benefit; Contingency; Control; Deciding; Eclipse; Increment; Kinship; Make_cognitive_connection; Misdeed; Relating_concepts; Social_connection; Social_event,1,1,procedure/task/conv_matpar.json
"No stop payment has been imposed. or A stop payment has been imposed and no cycling claimant’s reports are displayed on the FTS Payments tab. or A stop payment has been imposed for another issue, cycling claimant’s reports are displayed on the FTS Payments tab and the allocation of monies has no impact on cycling claimant’s reports.",canonical_frame,high,2,Activity_stop; Giving,,stop_procedure_or_entitlement; fallback_Giving,Reporting,Halt; Process_stop,18,Activity_stop; Commerce_pay; Creating; Emanating; Halt; Impact; Increment; Objective_influence; Operate_vehicle; Point_of_dispute; Preventing_or_letting; Process_stop; Reporting; Statement; Subjective_influence; Supply; Text; Thwarting,1,1,procedure/task/deter_monies_earnings.json
"No stop payment has been imposed. or A stop payment has been imposed and no cycling claimant’s reports are displayed on the FTS Payments tab. or A stop payment has been imposed for another issue, cycling claimant’s reports are displayed on the FTS Payments tab and the allocation of the bonus has no impact on cycling claimant’s reports.",canonical_frame,high,2,Activity_stop; Giving,,stop_procedure_or_entitlement; fallback_Giving,Reporting,Halt; Process_stop,18,Activity_stop; Commerce_pay; Creating; Emanating; Halt; Impact; Increment; Objective_influence; Operate_vehicle; Point_of_dispute; Preventing_or_letting; Process_stop; Reporting; Statement; Subjective_influence; Supply; Text; Thwarting,1,1,procedure/task/all_bonuses.json
No transfer required — Change of address already input,needs_review,low,0,,,,Cause_change; Have_as_requirement; Imposing_obligation; Replacing; Resolve_problem,,18,Being_necessary; Cause_change; Cause_motion; Change_tool; Exchange; Exchange_currency; Have_as_requirement; Imposing_obligation; Needing; Referring_by_name; Replacing; Resolve_problem; Speak_on_topic; Statement; Time_vector; Topic; Transfer; Undergo_change,2,1,procedure/task/change_address_dr.json
"Non-complex officers follow normal procedures and submit the ROE with the error, which results in the creation of an ROE Correction WI.",canonical_frame,high,1,Submitting_documents,,administrative_document_submission,Resolve_problem,Giving_in,18,Appellations; Attention_getting; Causation; Compliance; Condition_symptom_relation; Cotheme; Earnings_and_losses; Giving_in; Grasp; Intentionally_create; Leadership; Means; Medical_intervention; People_by_vocation; Relative_time; Resolve_problem; Submitting_documents; Typicality,1,1,procedure/generic/referral_to_integrity_temp_measures_fraudulent_ei_and_eierb_claim.json
"Note: If a client declares vacation for 6 weeks or more, refer to Creating an Action item (AI) WI in the initial task.",needs_review,low,0,,,,Cause_to_start,,18,Becoming_aware; Being_obligated; Calendric_unit; Cause_to_start; Commerce_buy; Creating; Entity; Increment; Intentionally_act; Intentionally_create; Measure_duration; Reference_text; Referring_by_name; Sending; Statement; Temporary_leave; Topic; Version_sequence,1,1,procedure/generic/pay_coding_guide.json
Note: It is the responsibility of a Level 2 post-audit officer to complete CR Integrity WIs.,needs_review,low,0,,,,Activity_finish,,18,Activity_finish; Appellations; Attention_getting; Becoming_aware; Being_obligated; Building_subparts; Completeness; Destroying; Dimension; Gizmo; Leadership; Part_ordered_segments; People_by_vocation; Process_completed_state; Quantity; Rank; Responsibility; Statement,1,1,procedure/generic/rec_eia_lae_52.json
obtain personal information about their claim for benefits through any of the following channels:,canonical_frame,medium,1,Receiving,,fallback_Receiving,,,18,Activity_done_state; Claim_ownership; Compliance; Conferring_benefit; Cotheme; Getting; Grasp; Information; Natural_features; Predicting; Proportional_quantity; Quantified_mass; Relative_time; Social_event; Statement; Time_vector; Topic; Used_up,2,2,procedure/activity/access_code.json; procedure/task/envoyer-code-acces-issue-access-code-curam.json
Officers can refer to this table found under Additional resources to ensure the appropriate steps are taken.,no_domain_frame,low,0,,,,,,18,Appellations; Attention_getting; Circumscribed_existence; Connecting_architecture; Experiencer_focus; Increment; Intentionally_act; Intentionally_create; Leadership; Non-gradable_proximity; People_by_vocation; Proportional_quantity; Reference_text; Referring_by_name; Self_motion; Sending; Suitability; Topic,1,1,procedure/subactivity/detcalc_ccb.json
Officers cannot discuss the client’s claim or even confirm that the client has applied for EI.,canonical_frame,medium,2,Evidence; Request,,fallback_Request; fallback_Evidence,,,18,Affirm_or_deny; Appellations; Attention_getting; Claim_ownership; Come_into_effect; Commerce_buy; Degree; Discussion; Evidence; Leadership; People_by_vocation; Predicting; Rite; Speak_on_topic; Statement; Topic; Using; Verification,1,1,procedure/generic/validating_cict.json
"Officers contact the Public Service Pay Centre’s Client Contact Centre at 1-855-686-4729 between 7am and 7pm EST, select their preferred language and press 6 on the keypad.",canonical_frame,medium,1,Communication,,fallback_Communication,,,18,Appellations; Attempt_suasion; Attention_getting; Capital_stock; Cause_motion; Choosing; Commerce_buy; Commerce_pay; Communication; Contacting; Interior_profile_relation; Leadership; People_by_vocation; Public_services; Rite; Secrecy_status; Self_motion; Spatial_contact,1,1,procedure/generic/roe-issued-gc-ins.json
Officers follow the steps indicated for their region.,canonical_frame,medium,1,Evidence,,fallback_Evidence,Communication,,18,Appellations; Attention_getting; Communication; Compliance; Condition_symptom_relation; Connecting_architecture; Cotheme; Evidence; Grasp; Indicating; Intentionally_act; Leadership; Locale; Medical_intervention; People_by_vocation; Relative_time; Self_motion; Sign,1,1,procedure/task/arpa_warrant.json
Officers must attempt to obtain contact information for a possible representative or someone who can provide a proof of death.,canonical_frame,high,4,Communication; Evidence; Imposing_obligation; Receiving,,explicit_procedural_duty; fallback_Receiving; fallback_Evidence; fallback_Communication,,,18,Appellations; Attempt; Attention_getting; Awareness_status; Communication; Contacting; Death; Evidence; Getting; Information; Leadership; Likelihood; Medical_intervention; People; People_by_vocation; Representative; Spatial_contact; Supply,1,1,procedure/task/pcidc_nrtprd.json
Officers must follow the steps indicated for their region.,canonical_frame,high,2,Evidence; Imposing_obligation,,explicit_procedural_duty; fallback_Evidence,Communication,,18,Appellations; Attention_getting; Communication; Compliance; Condition_symptom_relation; Connecting_architecture; Cotheme; Evidence; Grasp; Indicating; Intentionally_act; Leadership; Locale; Medical_intervention; People_by_vocation; Relative_time; Self_motion; Sign,1,1,procedure/task/arpa_dd.json
Officers must use judgment when adjudicating these cases.,canonical_frame,high,1,Imposing_obligation,,explicit_procedural_duty,,,18,Alternatives; Appellations; Attention_getting; Containers; Criminal_investigation; Ingest_substance; Instance; Leadership; Legal_rulings; Measure_volume; People_by_vocation; Purpose; Reasoning; Tool_purpose; Treating_and_mistreating; Trial; Using; Using_resource,1,1,procedure/task/actioning_new_info_d24.json
Officers refer to Implementing a decision: Labour dispute — Level 1 .,needs_review,low,0,,,,Deciding,,18,Appellations; Attention_getting; Building_subparts; Deciding; Destroying; Dimension; Execute_plan; Gizmo; Leadership; Part_ordered_segments; People_by_vocation; Quantity; Quarreling; Rank; Reference_text; Referring_by_name; Sending; Topic,1,1,procedure/generic/agent_reassignment.json
"Officers refer to the following employment initiative charts, if necessary:",needs_review,low,0,,,,Being_employed,,18,Appellations; Attention_getting; Being_employed; Being_necessary; Compliance; Cotheme; Employing; Grasp; Leadership; People_by_vocation; Reference_text; Referring_by_name; Relative_time; Sending; Time_vector; Topic; Unemployment_rate; Using,1,1,procedure/generic/purge_recreate_knowledge.json
Officers refer to the following table to determine the priority WIs:,needs_review,low,0,,,,Coming_to_believe; Deciding,,18,Appellations; Attention_getting; Coming_to_believe; Compliance; Contingency; Control; Cotheme; Deciding; Grasp; Importance; Leadership; People_by_vocation; Reference_text; Referring_by_name; Relative_time; Sending; Time_vector; Topic,1,1,procedure/generic/agent_reassignment.json
"On an initial claim, the question “What was your hourly rate of pay or annual salary (before deductions)?” is asked.",canonical_frame,medium,1,Request,,fallback_Request,Assessing; Coming_to_believe,,18,Assessing; Claim_ownership; Coming_to_believe; Commerce_pay; Entity; Frequency; Point_of_dispute; Predicting; Price_per_unit; Proportion; Questioning; Rate_quantification; Relational_quantity; Request; Speed_description; Statement; Time_vector; Version_sequence,1,1,procedure/task/determining_workpatterns.json
"On the calculation worksheet, note that fact-find with the client is required to obtain the following entitlement to parental benefits information:",canonical_frame,high,3,Have_as_requirement; Imposing_obligation; Receiving,,explicit_procedural_duty; objective_prerequisite; fallback_Receiving,,Needing,18,Becoming_aware; Being_necessary; Commerce_buy; Compliance; Conferring_benefit; Cotheme; Degree; Getting; Grasp; Have_as_requirement; Imposing_obligation; Information; Kinship; Needing; Relative_time; Social_event; Statement; Time_vector,1,1,procedure/task/determining_pepbr.json
"On the calculation worksheet, note that fact-finding is required to determine the type of parental benefits the client is requesting.",canonical_frame,high,4,Coming_to_believe; Have_as_requirement; Imposing_obligation; Request,,determine_from_evidence; explicit_procedural_duty; objective_prerequisite; fallback_Request,,Contingency; Control; Deciding; Needing,18,Becoming_aware; Being_necessary; Coming_to_believe; Commerce_buy; Conferring_benefit; Contingency; Control; Deciding; Degree; Have_as_requirement; Imposing_obligation; Kinship; Needing; Request; Social_event; Statement; Text_creation; Type,1,1,procedure/task/determine_type_pb_entitled.json
"On the calculation worksheet, note that when reviewing the Annex – Special Benefits screen in SSO, the officer must indicate that an acceptable medical was not received.",canonical_frame,high,2,Evidence; Imposing_obligation,,explicit_procedural_duty; fallback_Evidence,Communication; Receiving,,18,Appellations; Attention_getting; Becoming_aware; Communication; Condition_symptom_relation; Conferring_benefit; Degree; Eclipse; Evidence; Indicating; Leadership; Medical_intervention; Negation; People_by_vocation; Receiving; Sign; Social_event; Statement,1,1,procedure/task/determining_pcic_med_cert.json
"On the Emergency Response Benefits screen, update the Lump sum payment modification field as follows:",needs_review,low,0,,,,Cause_change,,18,Cause_change; Cause_to_amalgamate; Commerce_pay; Communication_response; Commutative_statement; Compliance; Conferring_benefit; Cotheme; Eclipse; Emergency; Fields; Grasp; Locale_by_event; Locale_by_use; Part_piece; Relative_time; Response; Social_event,2,2,procedure/task/changing_a_sin_claim_established_incorrect_sin_ipoc.json; procedure/task/ipoc_changing_a_sin.json
"On the Payments tab, determine if claimant’s reports are cycling for the week in which the separation from employment occurred or the weeks after it:",canonical_frame,high,1,Assessing,,determine_numeric_or_eligibility_assessment,Being_employed; Deciding; Reporting,Coming_to_believe; Contingency; Control,18,Being_employed; Calendric_unit; Coming_to_believe; Commerce_pay; Contingency; Control; Deciding; Employing; Forming_relationships; Measure_duration; Operate_vehicle; Relative_time; Reporting; Statement; Text; Time_vector; Unemployment_rate; Using,1,1,procedure/task/actioning_pse_wsc.json
"On the Payments tab, determine if claimant’s reports are cycling for weeks after the week in which the separation from employment occurred:",canonical_frame,high,1,Assessing,,determine_numeric_or_eligibility_assessment,Being_employed; Deciding; Reporting,Coming_to_believe; Contingency; Control,18,Being_employed; Calendric_unit; Coming_to_believe; Commerce_pay; Contingency; Control; Deciding; Employing; Forming_relationships; Measure_duration; Operate_vehicle; Relative_time; Reporting; Statement; Text; Time_vector; Unemployment_rate; Using,1,1,procedure/task/actioning_pse_wsc.json
"On the Pending/Reject tab, verify the original claimant’s report information and determine if the information needs to be modified before the claimant’s report is processed:",canonical_frame,high,3,Coming_to_believe; Evidence; Scrutiny,,determine_from_evidence; fallback_Scrutiny; fallback_Evidence,Cause_change; Have_as_requirement; Reporting,Contingency; Control; Deciding,18,Cause_change; Coming_to_believe; Contingency; Control; Deciding; Degree_of_processing; Evidence; Have_as_requirement; Information; Needing; Processing_materials; Reporting; Required_event; Respond_to_proposal; Statement; Text; Time_vector; Verification,1,1,procedure/task/pending_cr.json
"On the Process Appeal screen, select Assign and complete the fields as follows:",canonical_frame,medium,1,Request,,fallback_Request,Activity_finish,,18,Activity_finish; Appeal; Choosing; Completeness; Compliance; Cotheme; Eclipse; Experiencer_obj; Fields; Grasp; Locale_by_event; Locale_by_use; Means; Process; Process_completed_state; Processing_materials; Relative_time; Request,3,2,procedure/task/eiapplicable.json; procedure/task/performingar.json
"On the WS - TP tab, determine if the results of the TLRW on the LRW field are the same as the TLRW on the Archived Operational Centre Memo (HM06) screen:",needs_review,low,0,,,,Coming_to_believe; Deciding; Resolve_problem,,18,Being_in_operation; Being_operational; Causation; Coming_to_believe; Condition_symptom_relation; Contingency; Control; Deciding; Earnings_and_losses; Eclipse; Fields; Identicality; Locale_by_event; Locale_by_use; Medical_intervention; Placing; Resolve_problem; Using,1,1,procedure/task/converting_claim_mps_bpc_103.json
"Once an IPOC officer has processed a converted UR manually in FTS, the IPOC officer must delete the Excel file from this folder.",canonical_frame,high,1,Imposing_obligation,,explicit_procedural_duty,Cause_change; Submitting_documents,,18,Appellations; Attention_getting; Cause_change; Containers; Degree_of_processing; Erasing; Event_instance; Exchange_currency; Expertise; Grooming; Leadership; People_by_vocation; Placing; Processing_materials; Removing; Self_motion; Submitting_documents; Undergo_transformation,1,1,procedure/task/maintaining_tws.json
"Once completed, go to Determining transactions required for the SIN change .",needs_review,low,0,,,,Activity_finish; Cause_change; Coming_to_believe; Deciding; Have_as_requirement; Imposing_obligation; Replacing,,18,Activity_finish; Being_necessary; Cause_change; Change_tool; Coming_to_believe; Commercial_transaction; Contingency; Control; Deciding; Event_instance; Exchange; Exchange_currency; Have_as_requirement; Imposing_obligation; Misdeed; Needing; Replacing; Undergo_change,1,1,procedure/task/ipoc_changing_a_sin.json
"Once the fact-finding is complete and a decision concerning entitlement has been made, the regional officer posts the decision in Major Employer Events .",needs_review,low,0,,,,Activity_finish; Deciding,,18,Activity_finish; Appellations; Assigned_location; Attention_getting; Cause_emotion; Completeness; Deciding; Employing; Event; Event_instance; Importance; Leadership; Locale; People_by_vocation; Process_completed_state; Sending; Sent_items; Topic,1,1,procedure/task/implementing_decision_ldl1.json
"Once the inputs are done, select Modify to add the information to the Pay History Details transaction.",needs_review,low,0,,,,Cause_change,,18,Activity_done_state; Cause_change; Cause_change_of_position_on_a_scale; Cause_to_be_included; Choosing; Commerce_pay; Commercial_transaction; Commutative_process; Event_instance; Fields; History; Individual_history; Information; Out_of_existence; Process_completed_state; Statement; Temporary_group; Text,1,1,procedure/generic/pay_history_summary_mod.json
"Once the macro identifies those SINs, the IPOC officer creates a Claimant’s report - MPS IPOC Review (IPOC REV) WI in NWS with the UR declaration that is forwarded to the MPS unit for action.",needs_review,low,0,,,,Cause_to_start; Reporting,,18,Appellations; Attention_getting; Categorization; Cause_to_start; Creating; Degree; Event_instance; Indicating; Intentionally_act; Intentionally_create; Leadership; Misdeed; People_by_vocation; Reporting; Sending; Statement; Text; Verification,1,1,procedure/task/calculating_processing_payment_wsc_mps.json
"Once the macro identifies those SINs, the IPOC officer creates a Claimant’s report – MPS IPOC Review (IPOC REV) WI in NWS with the UR declaration that is forwarded to the MPS unit for action.",needs_review,low,0,,,,Cause_to_start; Reporting,,18,Appellations; Attention_getting; Categorization; Cause_to_start; Creating; Degree; Event_instance; Indicating; Intentionally_act; Intentionally_create; Leadership; Misdeed; People_by_vocation; Reporting; Sending; Statement; Text; Verification,1,1,procedure/task/actioning_multiple_wsa_mps.json
"Once the weeks are added, select the appropriate report week and complete the fields, if necessary.",needs_review,low,0,,,,Activity_finish; Reporting,,18,Activity_finish; Being_necessary; Calendric_unit; Cause_change_of_position_on_a_scale; Cause_to_be_included; Choosing; Commutative_process; Completeness; Event_instance; Fields; Locale_by_event; Locale_by_use; Measure_duration; Process_completed_state; Reporting; Statement; Suitability; Text,1,1,procedure/generic/pay_history_summary_mod.json
Only certain special Pay history - week 1 codes are used.,no_domain_frame,low,0,,,,,,18,Calendric_unit; Certainty; Commerce_pay; Fields; History; Idiosyncrasy; Individual_history; Ingest_substance; Law; Likelihood; Measure_duration; Out_of_existence; Sole_instance; Specific_individual; Text; Treating_and_mistreating; Using; Using_resource,1,1,procedure/generic/manual_pay_sys_claimant.json
"Only one WP must be served when benefits are claimed for the same birth, adoption or placement.",canonical_frame,high,1,Imposing_obligation,waiting_period_state,waiting_period_served_is_domain_state; explicit_procedural_duty,,Function; Serving_in_capacity,18,Assistance; Being_incarcerated; Capacity; Claim_ownership; Conferring_benefit; Function; Giving_birth; Identicality; Offering; Placing; Predicting; Serving_in_capacity; Social_event; Sole_instance; Statement; Subordinates_and_superiors; Successful_action; Sufficiency,3,3,procedure/task/actioning_parental_review_wi.json; procedure/task/adj_integrity_case_ps.json; procedure/task/determining_dccewpd.json
"Opportunities Fund for Persons with Disabilities is a program that provides funding for employers and organizations to help people with disabilities prepare for, obtain and maintain employment or self-employment.",needs_review,low,0,,,,Being_employed,,18,Activity_prepare; Assistance; Being_employed; Colonization; Cooking_creation; Degree; Employing; Funding; Getting; Kinship; Money; Organization; People; Project; Statement; Supply; Unemployment_rate; Using,1,1,procedure/generic/shortterm_courses_ti.json
"Otherwise, the IPOC officer manually creates a pay history summary (PHS) for the now dormant claim.",canonical_frame,medium,1,Cause_to_start,,fallback_Cause_to_start,,,18,Appellations; Attention_getting; Cause_to_start; Claim_ownership; Commerce_pay; Creating; Fields; History; Individual_history; Intentionally_create; Leadership; Negative_conditional; Out_of_existence; People_by_vocation; Predicting; Statement; Temporal_collocation; Text,1,1,procedure/generic/ipoc_sys_notificiation_wi_it_description_corresponding_eds_reports_table.json
Process current WIs within the following timeframes: Non-Complex WIs within 2 business days of assignment.,no_domain_frame,low,0,,,,,,18,Being_obligated; Businesses; Calendric_unit; Compliance; Cotheme; Electricity; Grasp; Interior_profile_relation; Location_in_time; Means; Measure_duration; Process; Processing_materials; Relative_time; Temporal_collocation; Time_vector; Timespan; Within_distance,1,1,procedure/generic/agent_reassignment.json
Process WIs that have moved to the current workload from Pending and REM WIs from IPOC.,no_domain_frame,low,0,,,,,,18,Body_movement; Cause_change_of_position_on_a_scale; Cause_motion; Change_position_on_a_scale; Degree; Electricity; Giving_birth; Have_associated; Inclusion; Ingest_substance; Ingestion; Means; Motion; Possession; Process; Processing_materials; Sex; Temporal_collocation,1,1,procedure/generic/agent_reassignment.json
Processing an employment initiative change — Blocked claim,needs_review,low,0,,,,Being_employed; Cause_change; Replacing,,18,Being_employed; Cause_change; Change_tool; Claim_ownership; Eclipse; Employing; Exchange; Exchange_currency; Having_or_lacking_access; Hiding_objects; Hindering; Predicting; Processing_materials; Replacing; Statement; Undergo_change; Unemployment_rate; Using,1,1,procedure/task/changing_eii_mps.json
Processing and postal delays must be taken into consideration when determining whether the misrepresentation falls with the 36-month limitation period.,canonical_frame,high,2,Deciding; Imposing_obligation,,determine_administrative_decision; explicit_procedural_duty,,Coming_to_believe; Contingency; Control,18,Calendric_unit; Change_event_time; Change_position_on_a_scale; Cogitation; Coming_to_believe; Conquering; Contingency; Control; Deciding; Experiencer_focus; Frequency; Goal; Limitation; Measure_duration; Motion_directional; Natural_features; Prevarication; Processing_materials,1,1,procedure/task/adjudicating_em_mpwl.json
"QPIP maternity benefits are only for the person who was pregnant, gave birth, or whose pregnancy terminated after 19 complete weeks, including surrogates .",needs_review,low,0,,,,Activity_finish; Activity_stop,,18,Activity_finish; Activity_stop; Calendric_unit; Cause_to_be_included; Completeness; Condition_symptom_relation; Conferring_benefit; Firing; Giving_birth; Inclusion; Killing; Measure_duration; People; Process_completed_state; Relative_time; Social_event; Sole_instance; Time_vector,1,1,procedure/task/determining_equivalences_qpip_ei.json
Reconsideration under EIA 52 addresses issues of entitlement or qualification (including earnings) and must result in an overpayment (OP) or an underpayment (UP).,canonical_frame,high,1,Imposing_obligation,,explicit_procedural_duty,Resolve_problem,,18,Causation; Cause_to_be_included; Condition_symptom_relation; Creating; Earnings_and_losses; Emanating; Inclusion; Medical_intervention; Non-gradable_proximity; Point_of_dispute; Proportional_quantity; Referring_by_name; Resolve_problem; Speak_on_topic; Statement; Supply; Text; Topic,1,1,procedure/generic/rec_eia_lae_52.json
Refer to Adding direct deposit — Claim on file to input the direct deposit information.,structured_non_frame,high,0,,administrative_file_reference,administrative_file_not_grooming_or_placement,Submitting_documents,Grooming; Placing,18,Aiming; Behind_the_scenes; Cause_change_of_position_on_a_scale; Cause_to_be_included; Claim_ownership; Commutative_process; Grooming; Information; Placing; Predicting; Reference_text; Referring_by_name; Removing; Self_motion; Sending; Statement; Submitting_documents; Topic,1,1,procedure/task/adding_dd_nc.json
"Refer to Adoptive parents - New policy in force on January 1, 2012 , for more information.",no_domain_frame,low,0,,,,,,18,Age; Aggregate; Being_in_effect; Calendric_unit; Causation; Cause_motion; Execute_plan; Familiarity; Increment; Information; Kinship; Law; Level_of_force_exertion; Military; Reference_text; Referring_by_name; Sending; Topic,1,1,procedure/generic/knowledge.json
Refer to Benefit period: Extension for special benefits (BPC in w/c 2374 or later) — Table and determine if a BP extension for special benefits applies:,needs_review,low,0,,,,Coming_to_believe; Deciding,,18,Come_into_effect; Coming_to_believe; Conferring_benefit; Contingency; Control; Deciding; Expansion; Frequency; Linguistic_meaning; Reference_text; Referring_by_name; Relative_time; Sending; Social_event; Temporal_subregion; Time_vector; Topic; Using,1,1,procedure/task/completing_csu_tbpcwi_l1.json
"Refer to Change of address , then go to step 2.",needs_review,low,0,,,,Cause_change; Replacing; Resolve_problem,,18,Cause_change; Change_tool; Connecting_architecture; Exchange; Exchange_currency; Intentionally_act; Reference_text; Referring_by_name; Replacing; Resolve_problem; Self_motion; Sending; Speak_on_topic; Statement; Temporal_collocation; Time_vector; Topic; Undergo_change,1,1,procedure/task/actioning_receipt_und.json
Refer to COVID-19 — Procedural changes before actioning an assignment of benefits (AOB) form.,needs_review,low,0,,,,Cause_change; Replacing,,18,Being_obligated; Cause_change; Change_tool; Coming_to_be; Conferring_benefit; Creating; Exchange; Exchange_currency; Reference_text; Referring_by_name; Replacing; Reshaping; Sending; Social_event; Time_vector; Topic; Type; Undergo_change,1,1,procedure/generic/wl_mgmt_ipoc.json
Refer to Digest 6.6.0 — Periods of leave as needed.,needs_review,low,0,,,,Deny_or_grant_permission; Giving; Have_as_requirement,,18,Abandonment; Being_necessary; Causation; Deny_or_grant_permission; Departing; Forming_relationships; Frequency; Giving; Have_as_requirement; Needing; Path_shape; Quitting; Reference_text; Referring_by_name; Required_event; Sending; Temporary_leave; Topic,1,1,procedure/task/adjudicating_loa_l2.json
Refer to the appropriate procedure to action the unreported issue if necessary or return to the previous task.,no_domain_frame,low,0,,,,,,18,Arriving; Being_necessary; Being_obligated; Creating; Emanating; Intentionally_act; Means; Point_of_dispute; Reference_text; Referring_by_name; Relative_time; Resurrection; Sending; Suitability; Supply; Text; Time_vector; Topic,2,1,procedure/task/determining_issue_referred_integrity.json
"Regardless of whether the requester and interested parties were advised verbally of the reconsideration under EIA 112 decision, the decision must be communicated in writing to the requester and interested parties when required.",canonical_frame,high,2,Communication; Imposing_obligation,,explicit_procedural_duty; fallback_Communication,Deciding; Have_as_requirement,,18,Attempt_suasion; Being_necessary; Communication; Contacting; Deciding; Desiring; Experiencer_focus; Experiencer_obj; Have_as_requirement; Imposing_obligation; Mental_stimulus_exp_focus; Needing; Non-gradable_proximity; Proportional_quantity; Spelling_and_pronouncing; Statement; Telling; Text_creation,1,1,procedure/task/commwrite.json
Review processing activities for the Web application and take notes if necessary:,canonical_frame,medium,1,Request,,fallback_Request,Have_as_requirement,,18,Becoming_aware; Being_necessary; Bringing; Capacity; Conquering; Create_physical_artwork; Have_as_requirement; Ingest_substance; Network; Opinion; Processing_materials; Removing; Ride_vehicle; Sex; Statement; Taking; Taking_time; Using,7,7,procedure/subactivity/det_crc_sb.json; procedure/subactivity/detcalc_ccb.json; procedure/subactivity/detcalc_mpb.json; procedure/subactivity/detcalc_pb.json; procedure/subactivity/detcalc_pcic.json; procedure/subactivity/detcalc_smp.json; procedure/subactivity/determining_reg_claim_ready.json
Review the application and the ROE to determine if the client is returning to work for that employer:,canonical_frame,medium,1,Request,,fallback_Request,Being_employed; Coming_to_believe; Deciding,,18,Arriving; Being_employed; Being_operational; Coming_to_believe; Commerce_buy; Contingency; Control; Deciding; Degree; Dimension; Employing; Labor_product; Locale_by_use; Resurrection; Usefulness; Using; Work; Working_a_post,1,1,procedure/task/determining_workpatterns.json
"Review the claimant’s report chart to determine if additional actions are required (e.g. if earnings are reported, an allocation may be required instead of entering the earnings while inputting the claimant’s report).",canonical_frame,high,3,Assessing; Deny_or_grant_permission; Reporting,,determine_numeric_or_eligibility_assessment; fallback_Reporting; fallback_Deny_or_grant_permission,Deciding; Have_as_requirement; Imposing_obligation,Coming_to_believe; Contingency; Control,18,Activity_start; Arriving; Becoming_a_member; Being_necessary; Coming_to_believe; Contingency; Control; Deciding; Earnings_and_losses; Have_as_requirement; Imposing_obligation; Increment; Intentionally_act; Needing; Path_shape; Reporting; Statement; Text,2,1,procedure/task/modifying_cr.json
"Review the claimant’s report chart to determine if additional actions are required (e.g. if earnings are reported, an allocation may be required instead of entering the earnings).",canonical_frame,high,2,Assessing; Reporting,,determine_numeric_or_eligibility_assessment; fallback_Reporting,Deciding; Have_as_requirement; Imposing_obligation,Coming_to_believe; Contingency; Control,18,Activity_start; Arriving; Becoming_a_member; Being_necessary; Coming_to_believe; Contingency; Control; Deciding; Earnings_and_losses; Have_as_requirement; Imposing_obligation; Increment; Intentionally_act; Needing; Path_shape; Reporting; Statement; Text,4,1,procedure/task/modifying_cr.json
"Review the file, determine who must be contacted and gather the appropriate checklists to conduct fact-finding.",canonical_frame,high,4,Coming_to_believe; Communication; Imposing_obligation; Scrutiny,,determine_from_evidence; explicit_procedural_duty; fallback_Scrutiny; fallback_Communication,Submitting_documents,Contingency; Control; Deciding,18,Come_together; Coming_to_believe; Conduct; Contacting; Contingency; Control; Cotheme; Deciding; Food_gathering; Gathering_up; Grooming; Intentionally_act; Placing; Removing; Self_motion; Spatial_contact; Submitting_documents; Suitability,1,1,procedure/task/actioning_fact_finding_request_for_labour_dispute.json
review the FTS payment tab or the DIST-0090 for the OP in question to confirm that the OP amount posted on the original decision is correct;,canonical_frame,medium,1,Evidence,,fallback_Evidence,Deciding; Resolve_problem,,18,Affirm_or_deny; Amounting_to; Being_in_category; Commerce_pay; Correctness; Deciding; Degree; Evidence; Point_of_dispute; Quantified_mass; Quantity; Questioning; Resolve_problem; Rite; Sending; Statement; Suitability; Verification,1,1,procedure/task/changing_overpayment_infractioncode.json
Review the History tab and the Transaction History screen to determine which of the following situations apply:,structured_non_frame,high,0,,record_history_reference,history_label_is_record_reference,Coming_to_believe; Deciding,History; Individual_history,18,Come_into_effect; Coming_to_believe; Commercial_transaction; Compliance; Contingency; Control; Cotheme; Deciding; Eclipse; Fields; Grasp; History; Individual_history; Out_of_existence; Relative_time; Text; Time_vector; Using,1,1,procedure/task/actioning_ipoc_ma_cycling_claimant_report.json
